customer_id,age,gender,item_purchased,category,purchase_amount_usd,location,color,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,age_group,subscription_status_binary,discount_applied_binary,promo_code_used_binary,total_spendings
66,65,Male,Backpack,Accessories,36,New Jersey,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,56-65,1,1,1,1620
67,31,Male,Blouse,Clothing,94,Pennsylvania,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,26-35,1,1,1,376
68,45,Male,Coat,Outerwear,33,Connecticut,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,36-45,1,1,1,1650
69,57,Male,Handbag,Accessories,46,Utah,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,56-65,1,1,1,1012
70,48,Male,Belt,Accessories,70,Tennessee,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,46-55,1,1,1,420
71,22,Male,Belt,Accessories,29,Alabama,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,18-25,1,1,1,957
72,36,Male,Dress,Clothing,48,Virginia,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,36-45,1,1,1,1680
73,18,Male,Dress,Clothing,26,Georgia,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,18-25,1,1,1,572
74,48,Male,Pants,Clothing,85,Hawaii,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,46-55,1,1,1,3740
75,49,Male,Gloves,Accessories,58,Indiana,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,46-55,1,1,1,232
76,64,Male,Scarf,Accessories,85,Utah,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,56-65,1,1,1,1870
77,50,Male,Hat,Accessories,43,Delaware,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,46-55,1,1,1,1419
78,22,Male,Dress,Clothing,53,Delaware,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,18-25,1,1,1,1961
79,50,Male,Skirt,Clothing,91,Nebraska,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,46-55,1,1,1,4641
80,38,Male,Jacket,Outerwear,96,Iowa,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,36-45,1,1,1,4224
81,19,Male,Sandals,Footwear,72,New York,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,18-25,1,1,1,1800
82,67,Male,Shoes,Footwear,96,Virginia,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,65+,1,1,1,3552
83,19,Male,Pants,Clothing,28,Georgia,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,18-25,1,1,1,616
84,36,Male,Dress,Clothing,40,Texas,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,36-45,1,1,1,1400
85,52,Male,Coat,Outerwear,32,Arizona,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,46-55,1,1,1,1376
86,53,Male,Sunglasses,Accessories,95,New Mexico,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,46-55,1,1,1,285
87,24,Male,Hoodie,Clothing,41,Nevada,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,18-25,1,1,1,1968
88,52,Male,Shoes,Footwear,53,Ohio,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,46-55,1,1,1,2385
89,33,Male,T-shirt,Clothing,47,Wyoming,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,26-35,1,1,1,1692
90,47,Male,Jacket,Outerwear,83,California,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,46-55,1,1,1,1328
91,25,Male,Hat,Accessories,48,South Carolina,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,18-25,1,1,1,1440
3770,51,Female,Gloves,Accessories,87,Arizona,Green,Summer,3.6,No,Standard,No,No,31,Venmo,Annually,46-55,0,0,0,2784
